Site;Sample ID;Sex;δ13C ;δ15N;Literature ;Mean δ13C;Mean δ15N;Sd  δ13C;Sd δ15N
Ailias;DAN16;F;-18.4;8.3;Nafplioti, 2016;-19.6;8.01;0.97;0.99
Ailias;DAN18;F;-18;8.6;Nafplioti, 2016;;;;
Ailias;DAN19;F;-18.2;8.7;Nafplioti, 2016;;;;
Ailias;DAN21;F;-20.2;7.8;Nafplioti, 2016;;;;
Ailias;DAN23;F;-19.9;8.7;Nafplioti, 2016;;;;
Ailias;DAN25;F;-20.4;8.9;Nafplioti, 2016;;;;
Ailias;DAN26;F;-19.8;9.3;Nafplioti, 2016;;;;
Ailias;DAN27;M;-19.7;9.4;Nafplioti, 2016;;;;
Ailias;DAN28;M;-20;9.2;Nafplioti, 2016;;;;
Ailias;DAN29;M;-19.1;9.1;Nafplioti, 2016;;;;
Ailias;DAN30;M;-18.2;8.9;Nafplioti, 2016;;;;
Ailias;DAN34;M;-17.9;9;Nafplioti, 2016;;;;
Ailias;DAN39;U;-18.3;9;Nafplioti, 2016;;;;
Ailias;DAN40;M;-17.4;9.8;Nafplioti, 2016;;;;
Ailias;DAN41;F;-17.7;8.1;Nafplioti, 2016;;;;
Ailias;DAN43;M;-17.4;9.2;Nafplioti, 2016;;;;
Ailias;DAN22;F;-20;8.9;Nafplioti, 2016;;;;
Ailias;DAN44;F;-20;7.4;Nafplioti, 2016;;;;
Ailias;DAN48;F;-19.8;6.7;Nafplioti, 2016;;;;
Ailias;DAN49;U;-19.6;9.3;Nafplioti, 2016;;;;
Ailias;DAN50;U;-19.7;7.5;Nafplioti, 2016;;;;
Ailias;DAN51;F;-19.9;7.5;Nafplioti, 2016;;;;
Ailias;DAN52;U;-19.8;6.7;Nafplioti, 2016;;;;
Ailias;DAN53;F;-20;7.3;Nafplioti, 2016;;;;
Ailias;DAN54;F;-20.4;7;Nafplioti, 2016;;;;
Ailias;DAN55;U;-18.8;9.6;Nafplioti, 2016;;;;
Ailias;DAN56;U;-19.3;7.4;Nafplioti, 2016;;;;
Ailias;DAN57;U;-20.2;7.4;Nafplioti, 2016;;;;
Ailias;DAN58;U;-19.6;8;Nafplioti, 2016;;;;
Ailias;DAN 46;F;-20.2;7;Nafplioti, 2016;;;;
Ailias;DAN72;F;-21;7.1;Nafplioti, 2016;;;;
Ailias;DAN75;M;-20;8.6;Nafplioti, 2016;;;;
Ailias;DAN76;M;-20.4;7.7;Nafplioti, 2016;;;;
Ailias;DAN78;M;-20.1;6.7;Nafplioti, 2016;;;;
